,Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2045,2023-01-22 07:15:00,15,3909.3,3264.4,2173.3,2173.3,6000.39
2046,2023-01-22 07:30:00,16,4550.3,3235.9,2495.5,2495.5,6499.8
2047,2023-01-22 07:45:00,16,5005.5,2844.8,2262.0,2262.0,7000.39
2048,2023-01-22 08:00:00,17,4663.1,3722.7,2781.7,2781.7,6500.0
2049,2023-01-22 08:15:00,17,4634.2,3835.9,2709.1,2709.1,6120.46
2050,2023-01-22 08:30:00,18,4725.7,4180.2,3127.9,3127.9,5499.43
2051,2023-01-22 08:45:00,18,4512.8,4255.4,2991.4,2991.4,5200.79
2052,2023-01-22 09:00:00,19,5291.9,3095.3,2694.62,2694.62,8201.47
2053,2023-01-22 09:15:00,19,5412.4,3151.1,2750.42,2750.42,8201.72
2054,2023-01-22 09:30:00,20,6271.2,3842.7,3657.7,3657.7,8754.08
2055,2023-01-22 09:45:00,20,5583.2,4441.8,3723.15,3723.15,6149.47
2056,2023-01-22 10:00:00,21,4812.1,4082.7,3161.77,3161.77,6149.84
2057,2023-01-22 10:15:00,21,4799.7,4489.9,3146.4,3146.4,6000.82
2058,2023-01-22 10:30:00,22,5275.8,5559.5,3798.61,3798.61,5578.65
2059,2023-01-22 10:45:00,22,4947.7,5820.8,3689.72,3689.72,5200.45
2060,2023-01-22 11:00:00,23,5086.0,5859.4,3943.4,3943.4,4859.25
2061,2023-01-22 11:15:00,23,4859.0,6114.1,3718.77,3718.77,4546.55
2062,2023-01-22 11:30:00,24,4748.1,5782.7,3548.63,3548.63,5000.33
2063,2023-01-22 11:45:00,24,4623.6,6015.6,3475.85,3475.85,4662.79
2064,2023-01-22 12:00:00,25,4743.5,6538.0,3468.37,3468.37,4546.34
2065,2023-01-22 12:15:00,25,4522.6,6383.1,3219.04,3219.04,4533.93
2066,2023-01-22 12:30:00,26,4621.7,5349.0,3377.03,3377.03,5571.96
2067,2023-01-22 12:45:00,26,4374.4,5310.9,3159.85,3159.85,5344.77
2068,2023-01-22 13:00:00,27,3978.1,6243.7,2962.9,2962.9,4546.91
2069,2023-01-22 13:15:00,27,4013.4,6412.2,2999.5,2999.5,4533.91
2070,2023-01-22 13:30:00,28,3961.1,6264.2,2847.2,2847.2,4504.63
2071,2023-01-22 13:45:00,28,3340.5,6574.8,2246.8,2246.8,4287.64
2072,2023-01-22 14:00:00,29,3647.5,4806.4,2352.2,2352.2,4443.1
2073,2023-01-22 14:15:00,29,3594.8,4922.0,2303.5,2303.5,4396.42
2074,2023-01-22 14:30:00,30,3718.3,5342.2,2417.4,2417.4,4395.34
2075,2023-01-22 14:45:00,30,3797.2,5174.9,2486.7,2486.7,4395.08
2076,2023-01-22 15:00:00,31,3591.9,5118.8,2505.03,2505.03,4200.26
2077,2023-01-22 15:15:00,31,3669.2,4995.2,2450.08,2450.08,4200.83
2078,2023-01-22 15:30:00,32,3496.1,5030.2,2475.38,2475.39,4000.8
2079,2023-01-22 15:45:00,32,3566.4,4845.1,2554.67,2554.67,4000.74
2080,2023-01-22 16:00:00,33,3773.8,4594.1,2396.08,2396.07,4300.98
2081,2023-01-22 16:15:00,33,3682.1,4194.3,2132.5,2132.5,4729.41
2082,2023-01-22 16:30:00,34,3628.6,4159.3,2204.5,2204.5,4945.62
2083,2023-01-22 16:45:00,34,4120.1,4296.5,2647.5,2647.5,5999.93
2084,2023-01-22 17:00:00,35,2982.5,6099.1,2701.19,2701.19,2952.24
2085,2023-01-22 17:15:00,35,3406.9,6350.6,3156.15,3156.15,2921.97
2086,2023-01-22 17:30:00,36,3600.8,5664.4,2918.5,2918.51,4000.65
2087,2023-01-22 17:45:00,36,3679.7,5070.7,2637.5,2637.5,4244.76
2088,2023-01-22 18:00:00,37,3824.5,4125.0,2560.0,2560.0,4946.07
2089,2023-01-22 18:15:00,37,3993.6,3564.2,2306.2,2306.2,5840.58
2090,2023-01-22 18:30:00,38,3728.4,3560.0,2264.1,2264.1,5500.88
