2026-05-19 17:10:00,145 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,146 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,148 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,149 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,150 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,150 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,151 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,152 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,155 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,159 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,160 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,161 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,163 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,165 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,168 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,171 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,177 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,178 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,179 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,179 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,180 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,181 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,182 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,184 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,185 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,188 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,190 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
